"","candidate.id","application.id","gender","race","candidate.source","application.review","initial.screen","tech.screen","live.interview","offer","ratings.application.review"
"1",1001,193355,"male","white","linkedin","completed","completed",NA,"completed","completed",3
"2",1002,896656,"female","black/african american","job.site","completed",NA,NA,NA,NA,3
"3",1003,443802,"male","white","job.site","completed",NA,NA,NA,NA,1
"4",1004,592649,"male","white","job.site","completed",NA,NA,NA,NA,3
"5",1005,224250,"female","asian","indeed","completed",NA,NA,NA,NA,2
"6",1006,434811,"female","asian","job.site","completed",NA,NA,NA,NA,4
"7",1007,191432,"male","white","indeed","completed",NA,NA,NA,NA,3
"8",1008,262409,"female","white","referral","completed",NA,NA,NA,NA,4
"9",1009,526009,"male","asian","referral","completed",NA,NA,NA,NA,3
"10",1010,540018,"male","asian","job.site","completed",NA,NA,NA,NA,3
"11",1011,346519,"male","asian","indeed","completed","completed",NA,"completed","completed",3
"12",1012,102687,"male","asian","job.site","completed","completed","completed","completed",NA,2
"13",1013,854489,"female","asian","job.site","completed","completed",NA,"completed",NA,3
"14",1014,844513,"male","asian","referral","completed",NA,NA,NA,NA,3
"15",1015,487639,"male","black/african american","linkedin","completed","completed",NA,"completed","completed",2
"16",1016,889922,"female","black/african american","linkedin","completed",NA,NA,NA,NA,2
"17",1017,313553,"female","white","referral","completed","completed",NA,"completed",NA,3
"18",1018,311894,"male","black/african american","linkedin","completed",NA,NA,NA,NA,3
"19",1019,890128,"male","latinx","referral","completed",NA,NA,NA,NA,2
"20",1020,704746,"male","white","indeed","completed",NA,NA,NA,NA,4
"21",1021,957412,"male","white","indeed","completed","completed","completed","completed",NA,2
"22",1022,167655,"male","white","Referral","completed",NA,NA,NA,NA,3
"23",1023,568187,"female","white","linkedin","completed",NA,NA,NA,NA,2
"24",1024,412946,"male","white","linkedin","completed",NA,NA,NA,NA,3
"25",1025,756226,"male","white","linkedin","completed","completed",NA,"completed",NA,2
"26",1026,326271,"male","black/african american","indeed","completed",NA,NA,NA,NA,2
"27",1027,465579,"male","asian","linkedin","completed","completed",NA,"completed",NA,4
"28",1028,822211,"male","latinx","indeed","completed",NA,NA,NA,NA,3
"29",1029,884060,"female","asian","linkedin","completed",NA,NA,NA,NA,2
"30",1030,265199,"male","black/african american","linkedin","completed","completed",NA,"completed",NA,1
"31",1031,963510,"male","white","linkedin","completed",NA,NA,NA,NA,3
"32",1032,376130,"male","white","job.site","completed",NA,NA,NA,NA,3
"33",1033,675281,"female","white","indeed","completed",NA,NA,NA,NA,3
"34",1034,694897,"female","white","linked-in","completed","completed",NA,"completed",NA,2
"35",1035,159150,"male","white","linkedin","completed",NA,NA,NA,NA,3
"36",1036,697989,"male","white","referral","completed",NA,NA,NA,NA,3
"37",1037,531159,"female","latinx","linkedin","completed",NA,NA,NA,NA,2
"38",1038,513272,"male","white","linkedin","completed",NA,NA,NA,NA,3
"39",1039,163017,"female","asian","job.site","completed","completed",NA,"completed",NA,2
"40",1040,706211,"male","white","job.site","completed",NA,NA,NA,NA,3
"41",1041,593775,"female","white","referral","completed",NA,NA,NA,NA,3
"42",1042,591367,"male","black/african american","job.site","completed","completed",NA,"completed","completed",4
"43",1043,587703,"male","white","linkedin","completed",NA,NA,NA,NA,3
"44",1044,305252,"male","asian","job.site","completed",NA,NA,NA,NA,3
"45",1045,641615,"female","white","referral","completed",NA,NA,NA,NA,3
"46",1046,778244,"female","white","job.site","completed",NA,NA,NA,NA,2
"47",1047,980983,"female","white","referral","completed",NA,NA,NA,NA,3
"48",1048,920486,"male","white","indeed","completed","completed",NA,NA,NA,3
"49",1049,175176,"male","white","indeed","completed",NA,NA,NA,NA,3
"50",1050,504702,"female","black/african american","linkedin","completed","completed",NA,"completed","completed",3
"51",1051,944091,"male","white","job.site","completed",NA,NA,NA,NA,3
"52",1052,738666,"male","white","indeed","completed",NA,NA,NA,NA,3
"53",1053,129395,"female","black/african american","indeed","completed",NA,NA,NA,NA,1
"54",1054,193768,"female","latinx","indeed","completed",NA,NA,NA,NA,2
"55",1055,233134,"male","black/african american","indeed","completed",NA,NA,NA,NA,2
"56",1056,372270,"female","latinx","linkedin","completed",NA,NA,NA,NA,3
"57",1057,494698,"female","white","job.site","completed",NA,"completed",NA,NA,2
"58",1058,163024,"female","white","job.site","completed",NA,NA,NA,NA,3
"59",1059,304246,"male","white","indeed","completed",NA,NA,NA,NA,3
"60",1060,490174,"female","white","indeed","completed",NA,NA,NA,NA,1
"61",1061,639509,"female","black/african american","linkedin","completed",NA,NA,NA,NA,3
"62",1062,527610,"female","white","job.site","completed",NA,NA,NA,NA,3
"63",1063,425414,"male","black/african american","indeed","completed","completed",NA,NA,NA,3
"64",1064,501394,"male","white","referral","completed",NA,NA,NA,NA,2
"65",1065,955832,"female","black/african american","job.site","completed",NA,NA,NA,NA,4
"66",1066,243093,"male","white","linkedin","completed",NA,NA,NA,NA,3
"67",1067,821312,"male","black/african american","job.site","completed",NA,NA,NA,NA,1
"68",1068,136395,"male","asian","linkedin","completed","completed","completed","completed",NA,3
"69",1069,720518,"male","white","indeed","completed","completed",NA,"completed",NA,4
"70",1070,157668,"male","white","referral","completed",NA,NA,NA,NA,1
"71",1071,443310,"male","black/african american","job.site","completed","completed",NA,"completed","completed",1
"72",1072,403336,"male","black/african american","linkedin","completed",NA,NA,NA,NA,3
"73",1073,344716,"male","latinx","linkedin","completed",NA,NA,NA,NA,1
"74",1074,312366,"male","latinx","job.site","completed",NA,NA,NA,NA,2
"75",1075,240669,"male","asian","indeed","completed",NA,NA,NA,NA,3
"76",1076,354185,"female","asian","linked-in","completed","completed",NA,"completed",NA,2
"77",1077,349198,"male","white","job.site","completed",NA,NA,NA,NA,3
"78",1078,297590,"female","white","linkedin","completed","completed",NA,"completed","completed",4
"79",1079,848010,"male","black/african american","job.site","completed","completed",NA,"completed","completed",3
"80",1080,649240,"male","black/african american","job.site","completed",NA,NA,NA,NA,3
"81",1081,479148,"male","black/african american","referral","completed",NA,NA,NA,NA,2
"82",1082,984441,"female","asian","indeed","completed","completed",NA,"completed",NA,3
"83",1083,209592,"male","white","linkedin","completed","completed",NA,"completed",NA,4
"84",1084,177140,"male","white","referral","completed",NA,NA,NA,NA,3
"85",1085,735759,"male","latinx","referral","completed",NA,NA,NA,NA,2
"86",1086,934679,"female","black/african american","job.site","completed","completed",NA,"completed",NA,2
"87",1087,269896,"female","white","job.site","completed",NA,NA,NA,NA,3
"88",1088,180310,"male","white","Referral","completed",NA,NA,NA,NA,3
"89",1089,691698,"female","asian","job.site","completed",NA,NA,NA,NA,2
"90",1090,627001,"male","latinx","referral","completed",NA,NA,NA,NA,2
"91",1091,975174,"female","white","job.site","completed",NA,NA,NA,NA,2
"92",1092,545911,"male","white","job.site","completed","completed",NA,"completed",NA,4
"93",1093,214424,"male","white","linkedin","completed",NA,NA,NA,NA,3
"94",1094,672341,"male","black/african american","job.site","completed",NA,NA,NA,NA,2
"95",1095,544367,"male","black/african american","job.site","completed","completed",NA,"completed","completed",3
"96",1096,698855,"male","white","job.site","completed",NA,NA,NA,NA,2
"97",1097,345785,"male","white","indeed","completed",NA,NA,NA,NA,2
"98",1098,419727,"male","white","linkedin","completed",NA,NA,NA,NA,3
"99",1099,143859,"male","white","job.site","completed",NA,NA,NA,NA,2
"100",1100,200894,"male","asian","indeed","completed","completed",NA,"completed",NA,3
"101",1101,979556,"male","black/african american","job.site","completed",NA,NA,NA,NA,2
"102",1102,546666,"male","asian","linkedin","completed","completed",NA,"completed","completed",2
"103",1103,457668,"female","white","job.site","completed","completed",NA,"completed","completed",1
"104",1104,814982,"female","black/african american","linkedin","completed",NA,NA,NA,NA,3
"105",1105,824639,"male","asian","linkedin","completed",NA,NA,NA,NA,3
"106",1106,566903,"male","white","linkedin","completed",NA,NA,NA,NA,2
"107",1107,407304,"female","white","linked-in","completed",NA,NA,NA,NA,3
"108",1108,412599,"male","white","job.site","completed",NA,NA,NA,NA,3
"109",1109,718171,"male","white","referral","completed","completed","completed","completed",NA,2
"110",1110,138842,"male","white","indeed","completed",NA,NA,NA,NA,2
"111",1111,181461,"male","white","job.site","completed","completed",NA,NA,NA,3
"112",1112,574736,"female","white","job.site","completed",NA,NA,NA,NA,4
"113",1113,189324,"male","white","job.site","completed","completed",NA,"completed",NA,3
"114",1114,118674,"male","white","linkedin","completed","completed",NA,"completed",NA,2
"115",1115,107597,"female","latinx","indeed","completed",NA,NA,NA,NA,4
"116",1116,729748,"female","black/african american","linkedin","completed",NA,NA,NA,NA,1
"117",1117,103261,"female","black/african american","linkedin","completed",NA,NA,NA,NA,4
"118",1118,987022,"male","asian","indeed","completed","completed",NA,"completed",NA,3
"119",1119,710634,"female","white","referral","completed","completed",NA,"completed",NA,3
"120",1120,173803,"male","white","job.site","completed","completed",NA,"completed","completed",3
"121",1121,905992,"male","black/african american","job.site","completed",NA,NA,NA,NA,3
"122",1122,101640,"male","black/african american","job.site","completed","completed","completed","completed","completed",2
"123",1123,715095,"female","black/african american","indeed","completed","completed",NA,"completed","completed",3
"124",1124,783304,"female","white","job.site","completed",NA,NA,NA,NA,2
"125",1125,101740,"male","asian","job.site","completed",NA,NA,NA,NA,1
"126",1126,474683,"female","white","indeed","completed",NA,NA,NA,NA,2
"127",1127,154105,"male","asian","Referral","completed","completed",NA,"completed",NA,3
"128",1128,813398,"male","white","job.site","completed",NA,NA,NA,NA,2
"129",1129,505586,"female","black/african american","linkedin","completed",NA,NA,NA,NA,3
"130",1130,830275,"male","white","job.site","completed","completed",NA,"completed","completed",3
"131",1131,329242,"male","white","linkedin","completed","completed",NA,"completed",NA,3
"132",1132,488828,"female","white","job.site","completed",NA,NA,NA,NA,2
"133",1133,206715,"male","white","job.site","completed",NA,"completed",NA,NA,2
"134",1134,624702,"female","white","job.site","completed",NA,NA,NA,NA,2
"135",1135,614262,"male","black/african american","indeed","completed",NA,NA,NA,NA,2
"136",1136,776591,"male","asian","indeed","completed",NA,NA,NA,NA,3
"137",1137,260360,"male","white","indeed","completed",NA,NA,NA,NA,3
"138",1138,989038,"female","white","job.site","completed","completed",NA,"completed",NA,3
"139",1139,252796,"male","asian","linkedin","completed",NA,NA,NA,NA,3
"140",1140,387420,"male","asian","job.site","completed",NA,NA,NA,NA,2
"141",1141,312775,"male","white","linkedin","completed","completed",NA,NA,NA,1
"142",1142,384513,"male","white","linked-in","completed",NA,NA,NA,NA,1
"143",1143,411635,"male","asian","job.site","completed","completed",NA,"completed",NA,3
"144",1144,595947,"male","black/african american","referral","completed",NA,NA,NA,NA,4
"145",1145,994510,"male","black/african american","job.site","completed","completed",NA,"completed",NA,2
"146",1146,795354,"female","white","linkedin","completed",NA,NA,NA,NA,1
"147",1147,997276,"female","asian","linkedin","completed",NA,NA,NA,NA,3
"148",1148,192766,"male","black/african american","referral","completed",NA,NA,NA,NA,3
"149",1149,743951,"male","asian","indeed","completed",NA,NA,NA,NA,1
"150",1150,444354,"male","white","linkedin","completed",NA,NA,NA,NA,4
"151",1151,673273,"male","black/african american","job.site","completed",NA,NA,NA,NA,2
"152",1152,578352,"male","white","job.site","completed","completed",NA,"completed",NA,3
"153",1153,563677,"female","latinx","linkedin","completed","completed",NA,"completed","completed",4
"154",1154,659721,"male","white","referral","completed",NA,NA,NA,NA,4
"155",1155,763841,"female","asian","job.site","completed",NA,NA,NA,NA,3
"156",1156,634204,"male","white","indeed","completed",NA,NA,NA,NA,3
"157",1157,471660,"female","white","job.site","completed",NA,NA,NA,NA,3
"158",1158,780466,"male","white","job.site","completed","completed",NA,"completed",NA,1
"159",1159,436093,"male","white","linkedin","completed",NA,NA,NA,NA,1
"160",1160,417948,"male","white","indeed","completed",NA,NA,NA,NA,3
"161",1161,101894,"female","latinx","referral","completed","completed",NA,"completed",NA,1
"162",1162,300270,"female","asian","referral","completed","completed",NA,"completed","completed",3
"163",1163,489358,"male","white","linkedin","completed",NA,NA,NA,NA,3
"164",1164,525977,"female","black/african american","job.site","completed",NA,NA,NA,NA,3
"165",1165,326862,"male","black/african american","job.site","completed","completed",NA,"completed",NA,3
"166",1166,751048,"male","black/african american","job.site","completed",NA,NA,NA,NA,3
"167",1167,733063,"male","latinx","job.site","completed","completed",NA,NA,NA,3
"168",1168,914967,"female","white","job.site","completed",NA,NA,NA,NA,3
"169",1169,359040,"male","black/african american","job.site","completed",NA,NA,NA,NA,3
"170",1170,955368,"male","asian","indeed","completed","completed",NA,"completed",NA,3
"171",1171,634323,"female","white","job.site","completed",NA,NA,NA,NA,2
"172",1172,264643,"male","white","linkedin","completed",NA,NA,NA,NA,2
"173",1173,378918,"male","asian","job.site","completed",NA,NA,NA,NA,1
"174",1174,421768,"female","latinx","linkedin","completed",NA,NA,NA,NA,2
"175",1175,342727,"male","white","job.site","completed",NA,NA,NA,NA,1
"176",1176,650199,"female","asian","job.site","completed","completed",NA,"completed","completed",4
"177",1177,336516,"male","asian","linkedin","completed","completed",NA,"completed",NA,2
"178",1178,435003,"male","black/african american","job.site","completed",NA,NA,NA,NA,3
"179",1179,390667,"male","white","linkedin","completed",NA,NA,NA,NA,3
"180",1180,794020,"male","asian","indeed","completed",NA,NA,NA,NA,2
"181",1181,697765,"female","white","job.site","completed",NA,NA,NA,NA,3
"182",1182,289378,"male","white","linkedin","completed",NA,NA,NA,NA,2
"183",1183,775013,"female","white","job.site","completed",NA,NA,NA,NA,3
"184",1184,414655,"female","white","indeed","completed",NA,NA,NA,NA,2
"185",1185,171963,"male","white","linkedin","completed",NA,NA,NA,NA,2
"186",1186,610209,"female","white","job.site","completed",NA,NA,NA,NA,3
"187",1187,892614,"male","black/african american","indeed","completed",NA,NA,NA,NA,3
"188",1188,943112,"female","white","job.site","completed",NA,NA,NA,NA,4
"189",1189,200037,"male","white","indeed","completed","completed",NA,"completed","completed",2
"190",1190,805985,"male","white","referral","completed",NA,NA,NA,NA,2
"191",1191,158670,"male","white","linkedin","completed",NA,NA,NA,NA,3
"192",1192,368292,"male","black/african american","referral","completed",NA,NA,NA,NA,2
"193",1193,210118,"female","white","Referral","completed",NA,NA,NA,NA,3
"194",1194,650206,"male","asian","job.site","completed","completed","completed","completed","completed",3
"195",1195,761479,"male","black/african american","job.site","completed",NA,NA,NA,NA,2
"196",1196,568698,"male","white","indeed","completed",NA,NA,NA,NA,3
"197",1197,315484,"male","black/african american","indeed","completed",NA,NA,NA,NA,2
"198",1198,257885,"male","latinx","linkedin","completed","completed",NA,NA,NA,3
"199",1199,650812,"male","white","job.site","completed",NA,NA,NA,NA,1
